count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
12,6000,0.139000,0.000000,0.000000,0.000000,0.000000,0.002000, 
15,7500,0.953000,-0.010000,0.000000,0.000000,0.000000,-0.019000, 
18,9000,2.049000,-0.033000,0.000000,0.000000,0.000000,-0.023000, 
21,10500,3.169000,-0.060000,0.000000,0.000000,0.000000,-0.035000, 
24,12000,4.280000,-0.134000,0.000000,0.000000,0.000000,-0.082000, 
27,13500,5.385000,-0.242000,0.000000,0.000000,0.000000,-0.097000, 
30,15000,6.492000,-0.340000,0.000000,0.000000,0.000000,-0.081000, 
33,16500,7.603000,-0.424000,0.000000,0.000000,0.000000,-0.070000, 
36,18000,8.720000,-0.498000,0.000000,0.000000,0.000000,-0.040000, 
39,19500,9.826000,-0.393000,0.000000,0.000000,0.000000,0.217000, 
42,21000,10.908000,-0.149000,0.000000,0.000000,0.000000,0.214000, 
45,22500,11.958000,0.216000,0.000000,0.000000,0.000000,0.508000, 
48,24000,12.816000,0.927000,0.000000,0.000000,0.000000,0.868000, 
51,25500,13.394000,1.883000,0.000000,0.000000,0.000000,1.128000, 
54,27000,13.861000,2.890000,0.000000,0.000000,0.000000,1.158000, 
57,28500,14.258000,3.947000,0.000000,0.000000,0.000000,1.262000, 
60,30000,14.561000,5.022000,0.000000,0.000000,0.000000,1.305000, 
63,31500,14.912000,6.091000,0.000000,0.000000,0.000000,1.214000, 
66,33000,15.371000,7.116000,0.000000,0.000000,0.000000,1.069000, 
69,34500,16.048000,8.006000,0.000000,0.000000,0.000000,0.751000, 
72,36000,16.943001,8.673000,0.000000,0.000000,0.000000,0.556000, 
75,37500,17.952999,9.141000,0.000000,0.000000,0.000000,0.320000, 
78,39000,19.032000,9.416000,0.000000,0.000000,0.000000,0.179000, 
81,40500,20.124001,9.565000,0.000000,0.000000,0.000000,0.089000, 
84,42000,21.222000,9.626000,0.000000,0.000000,0.000000,0.023000, 
87,43500,22.308001,9.627000,0.000000,0.000000,0.000000,-0.022000, 
90,45000,23.413000,9.594000,0.000000,0.000000,0.000000,-0.046000, 
93,46500,24.517000,9.529000,0.000000,0.000000,0.000000,-0.066000, 
96,48000,25.629999,9.456000,0.000000,0.000000,0.000000,-0.059000, 
99,49500,26.742001,9.415000,0.000000,0.000000,0.000000,-0.009000, 
102,51000,27.872000,9.408000,0.000000,0.000000,0.000000,-0.016000, 
105,52500,29.003000,9.341000,0.000000,0.000000,0.000000,-0.100000, 
108,54000,30.115000,9.168000,0.000000,0.000000,0.000000,-0.227000, 
111,55500,31.200001,8.860000,0.000000,0.000000,0.000000,-0.346000, 
114,57000,32.220001,8.395000,0.000000,0.000000,0.000000,-0.553000, 
117,58500,33.109001,7.716000,0.000000,0.000000,0.000000,-0.745000, 
120,60000,33.895000,6.902000,0.000000,0.000000,0.000000,-0.859000, 
123,61500,34.596001,6.028000,0.000000,0.000000,0.000000,-0.929000, 
126,63000,35.215000,5.074000,0.000000,0.000000,0.000000,-1.059000, 
129,64500,35.745998,4.064000,0.000000,0.000000,0.000000,-1.136000, 
132,66000,36.088001,2.998000,0.000000,0.000000,0.000000,-1.345000, 
135,67500,36.261002,1.880000,0.000000,0.000000,0.000000,-1.474000, 
138,69000,36.334999,0.745000,0.000000,0.000000,0.000000,-1.529000, 
141,70500,36.404999,-0.394000,0.000000,0.000000,0.000000,-1.486000, 
144,72000,36.487000,-1.539000,0.000000,0.000000,0.000000,-1.520000, 
147,73500,36.512001,-2.663000,0.000000,0.000000,0.000000,-1.576000, 
150,75000,36.467999,-3.778000,0.000000,0.000000,0.000000,-1.622000, 
153,76500,36.396999,-4.903000,0.000000,0.000000,0.000000,-1.645000, 
156,78000,36.400002,-6.027000,0.000000,0.000000,0.000000,-1.510000, 
