count,time,location_odometry_pos_x,location_odometry_pos_y,location_odometry_pos_z,location_odometry_roll,location_odometry_pitch,location_odometry_yaw
0,0,20.316561183378912,38.6698594686685,0,0,0,0.0
1,500,45.31656118337891,5.3365261353351565,0,0,0,0.0
2,1000,7.816561183378912,22.003192802001816,0,0,0,0.0
3,1500,32.81656118337891,44.22541502422405,0,0,0,0.0
4,2000,1.5665611833789117,49.78097057977961,0,0,0,0.0
5,2500,23.441561183378912,33.11430391311295,0,0,0,0.0
6,3000,10.941561183378912,1.6328224316314544,0,0,0,0.0
7,3500,35.94156118337891,18.299489098298114,0,0,0,0.0
8,4000,4.691561183378912,23.855044653853668,0,0,0,0.0
9,4500,18.754061183378912,12.743933542742559,0,0,0,0.0
10,5000,6.254061183378912,36.81800761681665,0,0,0,0.0
11,5500,31.254061183378912,3.484674283483305,0,0,0,0.0
12,6000,37.50406118337891,42.3735631723722,0,0,0,0.0
13,6500,21.879061183378912,47.92911872792776,0,0,0,0.0
14,7000,46.87906118337891,14.59578539459441,0,0,0,0.0
15,7500,34.37906118337891,38.05257551805122,0,0,0,0.0
16,8000,40.62906118337891,21.38590885138453,0,0,0,0.0
17,8500,28.129061183378912,10.27479774027343,0,0,0,0.0
18,9000,21.097811183378912,26.941464406940103,0,0,0,0.0
19,9500,46.09781118337891,49.16368662916232,0,0,0,0.0
20,10000,33.59781118337891,32.49701996249566,0,0,0,0.0
21,10500,14.847811183378912,34.34887181434751,0,0,0,0.0
22,11000,39.84781118337891,1.0155384810141697,0,0,0,0.0
23,11500,2.3478111833789117,17.68220514768083,0,0,0,0.0
24,12000,27.347811183378912,39.90442736990307,0,0,0,0.0
25,12500,49.22281118337891,23.237760703236386,0,0,0,0.0
26,13000,36.72281118337891,12.12664959212528,0,0,0,0.0
27,13500,17.972811183378912,28.79331625879196,0,0,0,0.0
28,14000,42.97281118337891,36.200723666199366,0,0,0,0.0
29,14500,19.535311183378912,41.756279221754916,0,0,0,0.0
30,15000,13.285311183378912,13.978501443977127,0,0,0,0.0
31,15500,25.785311183378912,4.101958234100589,0,0,0,0.0
32,16000,22.660311183378912,20.76862490076725,0,0,0,0.0
33,16500,47.66031118337891,42.990847122989486,0,0,0,0.0
34,17000,35.16031118337891,26.32418045632282,0,0,0,0.0
35,17500,16.410311183378912,48.54640267854504,0,0,0,0.0
36,18000,41.41031118337891,15.213069345211693,0,0,0,0.0
37,18500,28.910311183378912,33.731587863730226,0,0,0,0.0
38,19000,8.207186183378912,39.28714341928578,0,0,0,0.0
39,19500,33.20718618337891,5.9538100859524405,0,0,0,0.0
40,20000,14.457186183378912,22.6204767526191,0,0,0,0.0
41,20500,26.957186183378912,28.176032308174676,0,0,0,0.0
42,21000,23.832186183378912,35.58343971558208,0,0,0,0.0
43,21500,36.33218618337891,41.13899527113763,0,0,0,0.0
44,22000,17.582186183378912,7.8056619378042935,0,0,0,0.0
45,22500,42.58218618337891,24.472328604470952,0,0,0,0.0
46,23000,5.082186183378912,46.69455082669319,0,0,0,0.0
47,23500,30.082186183378912,13.361217493359842,0,0,0,0.0
48,24000,31.644686183378912,22.208954118874246,0,0,0,0.0
49,24500,12.894686183378912,44.43117634109648,0,0,0,0.0
50,25000,0.3946861833789117,27.764509674429817,0,0,0,0.0
51,25500,22.269686183378912,16.653398563318692,0,0,0,0.0
52,26000,47.26968618337891,33.320065229985374,0,0,0,0.0
53,26500,16.019686183378912,18.505250415170543,0,0,0,0.0
54,27000,41.01968618337891,40.72747263739277,0,0,0,0.0
55,27500,28.519686183378912,24.060805970726097,0,0,0,0.0
56,28000,8.988436183378912,29.616361526281672,0,0,0,0.0
57,28500,15.238436183378912,3.6904356003557335,0,0,0,0.0
58,29000,30.863436183378912,43.81389239047919,0,0,0,0.0
59,29500,44.92593618337891,27.14722572381253,0,0,0,0.0
60,30000,7.425936183378912,49.369447946034754,0,0,0,0.0
61,30500,32.42593618337891,16.036114612701407,0,0,0,0.0
62,31000,13.675936183378912,32.70278127936809,0,0,0,0.0
63,31500,38.67593618337891,34.55463313121994,0,0,0,0.0
64,32000,1.1759361833789117,1.2212997978865976,0,0,0,0.0
65,32500,26.175936183378912,17.88796646455326,0,0,0,0.0
66,33000,10.550936183378912,23.443522020108816,0,0,0,0.0
67,33500,8.011873683378912,8.628707205294004,0,0,0,0.0
68,34000,39.26187368337891,14.184262760849556,0,0,0,0.0
69,34500,17.386873683378912,26.529941773195247,0,0,0,0.0
70,35000,42.38687368337891,48.75216399541747,0,0,0,0.0
71,35500,18.949373683378912,33.93734918060265,0,0,0,0.0
72,36000,43.94937368337891,0.6040158472693138,0,0,0,0.0
73,36500,37.69937368337891,22.82623806949153,0,0,0,0.0
74,37000,24.418123683378912,49.57520926290718,0,0,0,0.0
75,37500,5.668123683378912,40.31595000364792,0,0,0,0.0
76,38000,19.730623683378912,23.64928333698124,0,0,0,0.0
77,38500,7.230623683378912,12.538172225870131,0,0,0,0.0
78,39000,13.480623683378912,36.612246299944225,0,0,0,0.0
79,39500,38.48062368337891,3.278912966610877,0,0,0,0.0
80,40000,0.9806236833789117,19.94557963327754,0,0,0,0.0
81,40500,47.85562368337891,25.501135188833114,0,0,0,0.0
82,41000,10.355623683378912,47.723357411055325,0,0,0,0.0
83,41500,29.105623683378912,21.180147534512106,0,0,0,0.0
84,42000,45.90249868337891,10.069036423401002,0,0,0,0.0
85,42500,39.65249868337891,32.29125864562323,0,0,0,0.0
86,43000,49.02749868337891,39.69866605303064,0,0,0,0.0
87,43500,11.527498683378912,6.365332719697298,0,0,0,0.0
88,44000,17.777498683378912,45.2542216085862,0,0,0,0.0
89,44500,42.77749868337891,11.920888275252853,0,0,0,0.0
90,45000,13.089998683378912,24.883851238215808,0,0,0,0.0
91,45500,0.5899986833789117,13.772740127104699,0,0,0,0.0
92,46000,27.933748683378912,44.636937657968915,0,0,0,0.0
93,46500,43.55874868337891,40.933233954265205,0,0,0,0.0
94,47000,10.746248683378912,16.310463035197976,0,0,0,0.0
95,47500,16.996248683378912,34.82898155371651,0,0,0,0.0
96,48000,41.99624868337891,1.4956482203831682,0,0,0,0.0
97,48500,45.41421743337891,23.71787044260538,0,0,0,0.0
98,49000,26.664217433378912,20.01416673890168,0,0,0,0.0
99,49500,36.03921743337891,47.79194451667947,0,0,0,0.0
100,50000,29.789217433378912,4.582067973469588,0,0,0,0.0
101,50500,43.85171743337891,43.47095686235848,0,0,0,0.0
102,51000,31.351717433378912,26.804290195691816,0,0,0,0.0
103,51500,12.601717433378912,49.026512417914034,0,0,0,0.0
104,52000,34.47671743337891,6.433919825321441,0,0,0,0.0
105,52500,15.726717433378912,23.1005864919881,0,0,0,0.0
106,53000,21.195467433378912,36.06354945495108,0,0,0,0.0
107,53500,39.94546743337891,24.95243834383995,0,0,0,0.0
108,54000,2.4454674333789117,47.17466056606219,0,0,0,0.0
109,54500,27.445467433378912,13.84132723272884,0,0,0,0.0
110,55000,5.570467433378912,26.187006245074535,0,0,0,0.0
111,55500,30.570467433378912,48.40922846729676,0,0,0,0.0
112,56000,44.63296743337891,31.742561800630092,0,0,0,0.0
113,56500,0.8829674333789117,5.816635874704155,0,0,0,0.0
114,57000,47.75796743337891,11.372191430259711,0,0,0,0.0
115,57500,6.742342433378912,23.92363175947781,0,0,0,0.0
116,58000,37.99234243337891,29.479187315033386,0,0,0,0.0
117,58500,46.58609243337891,21.454495957008675,0,0,0,0.0
118,59000,9.086092433378912,43.6767181792309,0,0,0,0.0
119,59500,38.77359243337891,8.49153299404572,0,0,0,0.0
120,60000,26.273592433378912,47.38042188293461,0,0,0,0.0
121,60500,10.648592433378912,37.503878673058075,0,0,0,0.0
122,61000,4.398592433378912,9.726100895280288,0,0,0,0.0
123,61500,20.609529933378912,48.61498978416918,0,0,0,0.0
124,62000,33.10952993337891,33.800174969354366,0,0,0,0.0
125,62500,1.8595299333789117,39.35573052490992,0,0,0,0.0
126,63000,44.04702993337891,24.540915710095096,0,0,0,0.0
127,63500,22.172029933378912,43.882479496103336,0,0,0,0.0
128,64000,40.14077993337891,12.400998014621852,0,0,0,0.0
129,64500,27.640779933378912,36.47507208869594,0,0,0,0.0
130,65000,43.26577993337891,47.58618319980704,0,0,0,0.0
131,65500,19.828279933378912,37.7096399899305,0,0,0,0.0
132,66000,39.75015493337891,41.413343693634204,0,0,0,0.0
133,66500,11.625154933378912,30.302232582523096,0,0,0,0.0
134,67000,38.18765493337891,0.05531900227617266,0,0,0,0.0
135,67500,47.56265493337891,22.277541224498385,0,0,0,0.0
136,68000,24.906404933378912,21.934605696377673,0,0,0,0.0
137,68500,49.90640493337891,44.15682791859991,0,0,0,0.0
138,69000,31.156404933378912,34.89756865934065,0,0,0,0.0
139,69500,35.99038930837891,0.9469513753900269,0,0,0,0.0
140,70000,29.740389308378912,23.169173597612243,0,0,0,0.0
141,70500,37.55288930837891,19.465469893908537,0,0,0,0.0
142,71000,15.677889308378912,37.36670446180979,0,0,0,0.0
143,71500,40.67788930837891,4.033371128476446,0,0,0,0.0
144,72000,14.896639308378912,31.811148906254232,0,0,0,0.0
145,72500,22.318514308378912,49.30086084041061,0,0,0,0.0
146,73000,41.06851430837891,17.819379358929115,0,0,0,0.0
147,73500,3.5685143083789117,40.04160158115135,0,0,0,0.0
148,74000,46.53726430837891,45.597157136706905,0,0,0,0.0
149,74500,5.912264308378912,4.239132445348875,0,0,0,0.0
150,75000,7.474764308378912,26.4613546675711,0,0,0,0.0
151,75500,29.349764308378912,35.72061392683036,0,0,0,0.0
152,76000,33.06070180837891,7.942836149052579,0,0,0,0.0
153,76500,14.310701808378912,24.60950281571924,0,0,0,0.0
154,77000,42.43570180837891,27.284399935060815,0,0,0,0.0
155,77500,12.748201808378912,40.24736289802377,0,0,0,0.0
156,78000,37.74820180837891,6.9140295646904395,0,0,0,0.0
157,78500,47.12320180837891,29.13625178691267,0,0,0,0.0
158,79000,36.96695180837891,32.222671539999084,0,0,0,0.0
159,79500,30.716951808378912,39.630078947406496,0,0,0,0.0
160,80000,13.529451808378912,28.51896783629539,0,0,0,0.0
161,80500,26.029451808378912,19.25970857703611,0,0,0,0.0
162,81000,47.90445180837891,8.148597465925008,0,0,0,0.0
163,81500,11.576326808378912,39.01279499678921,0,0,0,0.0
164,82000,5.326326808378912,11.235017219011427,0,0,0,0.0
165,82500,31.888826808378912,40.86464684864106,0,0,0,0.0
166,83000,22.513826808378912,29.75353573752995,0,0,0,0.0
167,83500,31.107576808378912,8.9945051019561,0,0,0,0.0
168,84000,42.04507680837891,34.30314707726475,0,0,0,0.0
169,84500,14.213045558378912,12.08092485504252,0,0,0,0.0
170,85000,37.65054555837891,48.50067794146228,0,0,0,0.0
171,85500,22.025545558378912,33.68586312664746,0,0,0,0.0
172,86000,40.77554555837891,22.57475201553634,0,0,0,0.0
173,86500,46.24429555837891,35.53771497849932,0,0,0,0.0
174,87000,14.994295558378912,41.09327053405487,0,0,0,0.0
175,87500,27.494295558378912,46.648826089610424,0,0,0,0.0
176,88000,18.119295558378912,22.163229381791485,0,0,0,0.0
177,88500,47.80679555837891,46.23730345586557,0,0,0,0.0
178,89000,10.306795558378912,12.903970122532227,0,0,0,0.0
179,89500,44.29117055837891,40.06446394969273,0,0,0,0.0
180,90000,25.541170558378912,36.360760245989034,0,0,0,0.0
181,90500,9.916170558378912,41.91631580154458,0,0,0,0.0
182,91000,28.666170558378912,30.805204690433474,0,0,0,0.0
183,91500,9.134920558378912,20.92866148055692,0,0,0,0.0
184,92000,2.8849205583789117,48.706439258334704,0,0,0,0.0
185,92500,4.447420558378912,43.97392897026886,0,0,0,0.0
186,93000,40.18960805837891,45.208496871503435,0,0,0,0.0
187,93500,43.31460805837891,24.838126501133047,0,0,0,0.0
188,94000,19.877108058378912,30.39368205668862,0,0,0,0.0
189,94500,21.048983058378912,44.59121292088615,0,0,0,0.0
190,95000,49.17398305837891,46.443064772738,0,0,0,0.0
191,95500,11.673983058378912,13.109731439404653,0,0,0,0.0
192,96000,14.017733058378912,6.38819508823868,0,0,0,0.0
193,96500,23.392733058378912,28.61041731046091,0,0,0,0.0
194,97000,32.84097524587891,3.9190592857695417,0,0,0,0.0
195,97500,14.090975245878912,20.585725952436203,0,0,0,0.0
196,98000,23.465975245878912,48.36350373021399,0,0,0,0.0
197,98500,46.90347524587891,24.289429656139905,0,0,0,0.0
198,99000,33.62222524587891,49.80383294832099,0,0,0,0.0
199,99500,39.87222524587891,33.13716628165432,0,0,0,0.0
200,100000,49.24722524587891,40.54457368906172,0,0,0,0.0
201,100500,30.497225245878912,36.840869985358026,0,0,0,0.0
202,101000,22.684725245878912,38.075437886592596,0,0,0,0.0
203,101500,3.9347252458789117,49.1865489977037,0,0,0,0.0
204,102000,1.9816002458789117,23.26062307177777,0,0,0,0.0
205,102500,23.856600245878912,12.149511960666661,0,0,0,0.0
