count,time,location_odometry_pos_x,location_odometry_pos_y,location_odometry_pos_z,location_odometry_roll,location_odometry_pitch,location_odometry_yaw
0,0,4.030927323372037,25.42301210811698,0,0,0,0.0
1,500,22.91323856929842,7.65207077218265,0,0,0,0.0
2,1000,19.547789181682887,23.661700534065396,0,0,0,0.0
3,1500,25.07295311759609,12.983012037151601,0,0,0,0.0
4,2000,22.86840247373826,0.06318160053332078,0,0,0,0.0
5,2500,13.361615821644042,21.646200970223475,0,0,0,0.0
6,3000,6.862866638113579,28.358120866617668,0,0,0,0.0
7,3500,0.763375829803824,16.2423741838049,0,0,0,0.0
8,4000,28.174474883355316,11.436127130646373,0,0,0,0.0
9,4500,6.497981913918402,12.66349726748152,0,0,0,0.0
10,5000,0.8712236272460383,6.650749988191052,0,0,0,0.0
11,5500,13.136627809517162,14.87436724145552,0,0,0,0.0
12,6000,6.992533507727179,6.925996246229529,0,0,0,0.0
13,6500,8.693448437714567,0.6446911579772663,0,0,0,0.0
14,7000,25.127339269877186,16.693629679573004,0,0,0,0.0
15,7500,19.268830887973365,5.577187976841531,0,0,0,0.0
16,8000,29.776302365281953,25.798395863858698,0,0,0,0.0
17,8500,3.6266987941741924,9.980855560803873,0,0,0,0.0
18,9000,21.64453222749805,21.33575309085839,0,0,0,0.0
19,9500,24.90107079822981,20.109166992422132,0,0,0,0.0
20,10000,9.101055327987527,17.627418184306784,0,0,0,0.0
21,10500,26.474370024955732,25.385922552849383,0,0,0,0.0
22,11000,5.1902220473715275,16.46396284164459,0,0,0,0.0
23,11500,11.241090615049208,13.168848901336894,0,0,0,0.0
24,12000,15.628152528394356,11.797652848926782,0,0,0,0.0
25,12500,11.80799059133742,5.110475905670438,0,0,0,0.0
26,13000,15.067156753004493,29.462299126156026,0,0,0,0.0
27,13500,25.80869336761649,6.965283841890438,0,0,0,0.0
28,14000,23.509656978461695,24.614577357764457,0,0,0,0.0
29,14500,26.585387424780247,22.215102354995892,0,0,0,0.0
30,15000,1.6836989256222124,26.100304655299194,0,0,0,0.0
31,15500,17.099980016291408,5.995182605314292,0,0,0,0.0
32,16000,16.154363872135328,18.704683583925153,0,0,0,0.0
33,16500,18.37357394348177,13.744404002991732,0,0,0,0.0
34,17000,7.658821202619178,25.252344968222882,0,0,0,0.0
35,17500,20.193405763161213,2.4970241341169364,0,0,0,0.0
36,18000,3.2846588188307813,18.74406252457429,0,0,0,0.0
37,18500,21.34769781555819,13.641048901369917,0,0,0,0.0
38,19000,0.7090373289596119,11.596713142844097,0,0,0,0.0
39,19500,18.169459201020494,24.511190051336605,0,0,0,0.0
40,20000,4.393852211980381,21.565064182853696,0,0,0,0.0
41,20500,20.345273858308424,16.341064907367134,0,0,0,0.0
42,21000,6.695873407400122,19.45519254297769,0,0,0,0.0
43,21500,11.846940295748988,17.2753788836417,0,0,0,0.0
44,22000,9.637374280353757,18.92843583814041,0,0,0,0.0
45,22500,1.7635534861947388,8.9581784886904,0,0,0,0.0
46,23000,9.310908820594022,28.178652964058475,0,0,0,0.0
47,23500,24.582423318383917,28.86603375542454,0,0,0,0.0
48,24000,9.760369646279889,26.148645222706655,0,0,0,0.0
49,24500,6.025590343222782,9.832221152888025,0,0,0,0.0
50,25000,10.17286943552801,6.390893891424413,0,0,0,0.0
51,25500,26.471796073993907,20.61330546460972,0,0,0,0.0
52,26000,7.039213046131154,21.763955587238172,0,0,0,0.0
53,26500,22.773485481493207,18.006264903967487,0,0,0,0.0
54,27000,3.128249940438408,1.1741339579073173,0,0,0,0.0
55,27500,23.457108048982644,11.341188865151622,0,0,0,0.0
56,28000,3.466745417768199,5.0215031238399535,0,0,0,0.0
57,28500,1.1886064024111342,0.3151845455601687,0,0,0,0.0
58,29000,29.093895134894098,3.340869303806757,0,0,0,0.0
59,29500,20.64569424143138,19.85503286626048,0,0,0,0.0
60,30000,9.203528845545408,9.817242440613995,0,0,0,0.0
61,30500,26.80500736564803,9.084279890175488,0,0,0,0.0
62,31000,2.25389376763569,19.061462806891715,0,0,0,0.0
63,31500,24.64650434230543,9.593520083790171,0,0,0,0.0
64,32000,26.812763930873693,4.2504194108008475,0,0,0,0.0
65,32500,27.314450231782022,0.9527983769200998,0,0,0,0.0
66,33000,21.44473355906434,20.03336219056626,0,0,0,0.0
67,33500,16.478097941775577,16.24132955954942,0,0,0,0.0
68,34000,12.03246455762704,18.37334768978817,0,0,0,0.0
69,34500,20.59539391974602,21.942658474832154,0,0,0,0.0
70,35000,14.3648066274538,6.75186255116301,0,0,0,0.0
71,35500,27.208185135175448,27.531197515146665,0,0,0,0.0
72,36000,8.256760903973973,19.392455269277658,0,0,0,0.0
73,36500,15.350751276006196,26.32272236839461,0,0,0,0.0
74,37000,20.776708938084436,25.469733674597254,0,0,0,0.0
75,37500,11.148429922426947,21.03847988723426,0,0,0,0.0
76,38000,25.688314167390143,26.898131133490466,0,0,0,0.0
77,38500,5.28827685619426,7.517862266321379,0,0,0,0.0
78,39000,1.221260620096466,29.436631744444767,0,0,0,0.0
79,39500,8.025787339413352,27.385886702772957,0,0,0,0.0
80,40000,23.492619335159723,20.502386518884087,0,0,0,0.0
81,40500,11.32674635553039,6.117421513100393,0,0,0,0.0
82,41000,17.53284081246396,22.014923773595036,0,0,0,0.0
83,41500,14.013078848345529,1.3616417953715776,0,0,0,0.0
84,42000,12.677934334372198,10.655319407656542,0,0,0,0.0
